x,Mixing_depth_(m)
0.0,3093.048128342246
1.0,3093.048128342246
2.0,3093.048128342246
3.0,3093.903743315508
4.0,3093.903743315508
5.0,3105.8823529411766
6.0,3105.8823529411766
7.0,3105.8823529411766
8.0,3093.903743315508
9.0,3093.048128342246
10.0,3093.048128342246
11.0,3093.048128342246
12.0,3080.2139037433153
13.0,3048.128342245989
14.0,3010.338680926916
15.0,2976.317799847211
16.0,2883.422459893048
17.0,2823.529411764706
18.0,2772.1925133689842
19.0,2729.4117647058824
20.0,2643.8502673796793
21.0,2601.0695187165775
22.0,2575.4010695187167
23.0,2438.5026737967914
24.0,2349.0520175012152
25.0,2318.716577540107
26.0,2216.8206125425377
27.0,2147.5935828877004
28.0,2096.2566844919784
29.0,2023.5294117647059
30.0,1959.3582887700536
31.0,1933.6898395721923
32.0,1827.5935828877007
39.0,1617.1122994652408
40.0,1608.5561497326203
41.0,1677.0053475935829
42.0,1677.0053475935829
43.0,1845.7948468643654
44.0,2236.957813428402
45.0,2339.314715785304
46.0,2509.090909090909
47.0,2774.967480849834
48.0,2826.84146972572
49.0,2931.607092597805
50.0,3043.5446906035145
51.0,3066.524064171123
52.0,3080.2139037433153
53.0,3080.2139037433153
54.0,3080.2139037433153
55.0,3066.524064171123
56.0,3066.524064171123
57.0,3080.2139037433153
58.0,3093.903743315508
59.0,3093.903743315508
60.0,3107.5935828877004
61.0,3121.2834224598932
62.0,3121.2834224598932
63.0,3134.9732620320856
64.0,3134.9732620320856
65.0,3134.9732620320856
66.0,3144.385026737968
67.0,3144.385026737968
68.0,3144.385026737968
69.0,3148.6631016042784
70.0,3140.1069518716577
71.0,3131.5508021390374
72.0,3111.5864527629233
73.0,3087.5477463712755
74.0,3068.805704099822
75.0,3054.5454545454545
76.0,3018.1818181818185
77.0,2947.5935828877004
78.0,2866.3101604278077
79.0,2832.085561497326
80.0,2763.6363636363635
81.0,2628.8770053475937
82.0,2498.395721925134
83.0,2395.7219251336896
84.0,2293.048128342246
85.0,2293.048128342246
88.0,2121.9251336898396
89.0,2104.8128342245986
90.0,2062.0320855614973
91.0,2036.3636363636363
92.0,2036.3636363636363
93.0,2044.9197860962568
94.0,2062.0320855614973
95.0,2079.1443850267383
96.0,2087.7005347593586
97.0,2104.8128342245986
98.0,2173.2620320855617
99.0,2181.8181818181815
100.0,2181.8181818181815
101.0,2592.513368983957
102.0,2652.4064171122996
103.0,2695.1871657754014
104.0,2861.5567439096853
105.0,2922.780748663102
106.0,2985.438091320444
107.0,3066.524064171123
108.0,3080.2139037433153
109.0,3080.2139037433153
110.0,3093.048128342246
111.0,3093.048128342246
112.0,3093.903743315508
113.0,3093.903743315508
114.0,3093.903743315508
115.0,3093.048128342246
116.0,3093.048128342246
117.0,3080.2139037433153
118.0,3080.2139037433153
119.0,3066.524064171123
120.0,3066.524064171123
121.0,3066.524064171123
122.0,3080.2139037433153
123.0,3080.2139037433153
124.0,3080.2139037433153
125.0,3080.2139037433153
126.0,3080.2139037433153
127.0,3080.2139037433153
128.0,3068.805704099822
129.0,3054.5454545454545
130.0,3039.144385026738
131.0,3025.454545454546
132.0,2960.427807486631
133.0,2943.3155080213905
134.0,2926.2032085561495
135.0,2917.6470588235293
136.0,2883.422459893048
137.0,2866.3101604278077
138.0,2840.6417112299464
139.0,2814.9732620320856
140.0,2780.7486631016045
141.0,2703.7433155080216
142.0,2678.0748663101604
143.0,2593.4640522875816
144.0,2485.950413223141
145.0,2298.313451254628
146.0,2217.754010695187
147.0,2146.642899584076
148.0,2070.5882352941176
149.0,2140.748663101604
150.0,2179.1855203619907
151.0,2301.604278074866
152.0,2361.4973262032086
153.0,2700.0763941940413
154.0,2956.625074272133
155.0,2965.4608367411133
156.0,3001.23406005759
157.0,3093.903743315508
158.0,3107.5935828877004
159.0,3107.5935828877004
160.0,3121.2834224598932
161.0,3134.9732620320856
162.0,3140.1069518716577
163.0,3148.6631016042784
164.0,3144.385026737968
165.0,3144.385026737968
166.0,3134.9732620320856
167.0,3134.9732620320856
168.0,3131.5508021390374
169.0,3121.2834224598932
170.0,3134.9732620320856
171.0,3134.9732620320856
172.0,3144.385026737968
173.0,3148.6631016042784
174.0,3157.219251336898
175.0,3157.219251336898
182.0,3157.219251336898
183.0,3157.219251336898
184.0,3148.6631016042784
185.0,3140.1069518716577
186.0,3125.8467023172907
187.0,3111.5864527629233
188.0,3097.3262032085563
189.0,3083.065953654189
190.0,3058.212375859435
191.0,3043.5446906035145
192.0,3028.8770053475937
193.0,3014.209320091673
194.0,2960.427807486631
195.0,2943.3155080213905
196.0,2917.6470588235293
197.0,2891.9786096256685
198.0,2874.866310160428
199.0,2866.3101604278077
201.0,2849.1978609625667
202.0,2832.085561497326
203.0,2832.085561497326
204.0,2814.9732620320856
205.0,2806.417112299465
206.0,2797.860962566845
207.0,2797.860962566845
211.0,2780.7486631016045
212.0,2780.7486631016045
213.0,2789.304812834225
214.0,2806.417112299465
215.0,2823.529411764706
216.0,2857.7540106951874
217.0,2874.866310160428
218.0,2891.9786096256685
219.0,2917.6470588235293
220.0,2934.7593582887703
221.0,2951.871657754011
222.0,3011.7647058823527
223.0,3026.02495543672
224.0,3043.5446906035145
225.0,3072.8800611153556
226.0,3087.5477463712755
227.0,3097.3262032085563
228.0,3111.5864527629233
229.0,3121.2834224598932
230.0,3134.9732620320856
231.0,3148.6631016042784
232.0,3157.219251336898
233.0,3157.219251336898
240.0,3157.219251336898
241.0,3148.6631016042784
242.0,3131.5508021390374
243.0,3108.0213903743315
244.0,3078.0748663101604
245.0,3048.128342245989
246.0,3018.1818181818185
247.0,2982.673796791444
248.0,2909.090909090909
249.0,2857.7540106951874
250.0,2780.7486631016045
251.0,2712.2994652406414
252.0,2635.2941176470586
253.0,2549.7326203208554
254.0,2481.283422459893
255.0,2350.089126559715
256.0,2218.4873949579833
257.0,1967.9144385026739
258.0,1819.379679144385
259.0,1711.2299465240642
260.0,1522.9946524064171
261.0,1360.4278074866309
262.0,1206.4171122994653
263.0,1035.2941176470588
264.0,906.951871657754
265.0,744.3850267379679
266.0,607.4866310160428
267.0,462.0320855614973
268.0,329.74084738790623
269.0,425.03251915016625
270.0,631.4719032173227
271.0,894.2273412861647
272.0,1317.6470588235293
273.0,1642.7807486631018
274.0,2039.5540650774947
275.0,2542.26543509966
276.0,2799.9421881774824
277.0,2919.6215549156727
278.0,3107.5935828877004
279.0,3105.8823529411766
280.0,3105.8823529411766
281.0,3105.8823529411766
282.0,3093.903743315508
283.0,3093.903743315508
284.0,3093.903743315508
285.0,3093.903743315508
286.0,3093.903743315508
287.0,3093.903743315508
288.0,3093.903743315508
289.0,3093.903743315508
290.0,3093.903743315508
291.0,3093.903743315508
292.0,3093.903743315508
293.0,3105.8823529411766
294.0,3105.8823529411766
295.0,3105.8823529411766
296.0,3107.5935828877004
297.0,3107.5935828877004
298.0,3097.3262032085563
299.0,3078.0748663101604
300.0,3058.212375859435
301.0,3052.8342245989306
302.0,3063.1016042780752
304.0,2874.866310160428
305.0,2866.3101604278077
306.0,2857.7540106951874
308.0,2383.498854087089
309.0,2314.109419991773
310.0,2224.5989304812833
311.0,2144.302756067462
312.0,1916.5775401069518
313.0,1821.5092097445038
314.0,1659.8930481283421
315.0,1574.3315508021392
316.0,1428.8770053475937
317.0,1291.9786096256685
318.0,1180.7486631016043
319.0,1197.8609625668448
320.0,1326.2032085561498
321.0,1497.326203208556
322.0,1625.668449197861
323.0,1993.01247771836
324.0,2455.614973262032
325.0,2557.4036511156182
326.0,2663.814616755793
327.0,2746.524064171123
328.0,2840.6417112299464
329.0,2857.7540106951874
330.0,2874.866310160428
331.0,2891.9786096256685
332.0,2909.090909090909
333.0,2926.2032085561495
334.0,2934.7593582887703
339.0,2951.871657754011
340.0,2951.871657754011
341.0,2960.427807486631
342.0,3011.7647058823527
343.0,3025.454545454546
344.0,3039.144385026738
345.0,3052.8342245989306
346.0,3068.805704099822
347.0,3080.2139037433153
348.0,3080.2139037433153
349.0,3093.048128342246
350.0,3093.903743315508
351.0,3105.8823529411766
352.0,3107.5935828877004
353.0,3118.716577540107
354.0,3121.2834224598932
355.0,3111.5864527629233
356.0,3097.3262032085563
357.0,3083.065953654189
358.0,3066.524064171123
359.0,3052.8342245989306
360.0,3026.02495543672
361.0,2957.3164803111326
362.0,2866.3101604278077
363.0,2814.9732620320856
364.0,2746.524064171123
365.0,2669.51871657754
366.0,2566.8449197860964
367.0,2130.48128342246
368.0,2044.9197860962568
369.0,1959.3582887700536
370.0,1856.6844919786097
371.0,1694.1176470588236
372.0,1531.5508021390376
373.0,1368.9839572192514
374.0,1206.4171122994653
375.0,1086.6310160427809
376.0,1001.0695187165775
377.0,924.0641711229946
382.0,966.8449197860962
383.0,1112.2994652406417
384.0,1257.7540106951872
385.0,1480.2139037433155
386.0,1779.6791443850268
387.0,1993.01247771836
388.0,2252.2805913809375
389.0,2697.4688057041
390.0,2800.9411764705883
391.0,2919.358288770053
395.0,2968.9839572192514
397.0,2951.871657754011
398.0,2968.9839572192514
399.0,2968.9839572192514
400.0,3025.454545454546
401.0,3039.144385026738
402.0,3039.144385026738
403.0,3052.8342245989306
404.0,3052.8342245989306
405.0,3066.524064171123
406.0,3067.3796791443847
407.0,3067.3796791443847
408.0,3067.3796791443847
409.0,3066.524064171123
410.0,3066.524064171123
411.0,3066.524064171123
412.0,3054.5454545454545
413.0,3040.285204991087
414.0,3026.02495543672
415.0,3011.7647058823527
416.0,2960.427807486631
417.0,2934.7593582887703
418.0,2917.6470588235293
419.0,2917.6470588235293
421.0,2729.4117647058824
422.0,2729.4117647058824
423.0,2712.2994652406414
424.0,2678.0748663101604
425.0,2609.625668449198
432.0,2575.4010695187167
433.0,2583.957219251337
434.0,2609.625668449198
435.0,2626.7379679144383
436.0,2652.4064171122996
437.0,2678.0748663101604
438.0,2703.7433155080216
439.0,2729.4117647058824
440.0,2746.524064171123
441.0,2772.1925133689842
442.0,2797.860962566845
443.0,2832.085561497326
444.0,2849.1978609625667
445.0,2883.422459893048
446.0,2917.6470588235293
447.0,2934.7593582887703
448.0,2951.871657754011
449.0,3014.209320091673
450.0,3040.285204991087
451.0,3058.212375859435
452.0,3072.8800611153556
453.0,3102.2154316271963
454.0,3111.5864527629233
455.0,3121.2834224598932
456.0,3118.716577540107
457.0,924.8420029168692
458.0,820.5755029284439
459.0,921.730675741371
460.0,1350.1604278074867
461.0,1668.4491978609624
462.0,1677.0053475935829
463.0,1540.1069518716577
464.0,1559.1206179441474
465.0,1568.6274509803923
466.0,1603.889158969373
467.0,915.5080213903742
468.0,1083.7789661319073
469.0,3003.986387943607
470.0,2969.642122583299
471.0,2874.866310160428
472.0,2823.529411764706
473.0,1830.065359477124
474.0,1643.6363636363637
475.0,1930.48128342246
476.0,1898.3957219251338
477.0,1812.7629233511589
478.0,1781.9607843137255
479.0,1394.6524064171124
480.0,1324.166030048383
481.0,1512.1868843231073
482.0,2293.048128342246
483.0,2241.7112299465243
484.0,2168.9839572192514
485.0,1027.688651218063
486.0,1021.0338680926915
487.0,2029.5187165775399
488.0,1874.7474747474748
489.0,1873.7967914438502
490.0,1848.1283422459892
491.0,1822.4598930481282
492.0,342.24598930481284
493.0,342.24598930481284
494.0,359.3582887700535
496.0,1865.24064171123
497.0,1873.7967914438502
498.0,987.1657754010695
499.0,1112.2994652406417
500.0,1458.2454111865875
501.0,2429.946524064171
502.0,2577.234530175707
503.0,2686.6310160427806
504.0,1522.4242424242425
505.0,1095.9649975692757
506.0,1048.1283422459892
507.0,2763.6363636363635
508.0,2737.9679144385027
509.0,2703.7433155080216
510.0,1247.2964943553177
511.0,1160.6165460836742
512.0,342.24598930481284
514.0,2660.96256684492
518.0,965.1336898395721
519.0,1129.4117647058824
520.0,2703.7433155080216
521.0,2720.8556149732617
522.0,2729.4117647058824
523.0,1548.6631016042782
524.0,1047.5171886936594
525.0,1035.2941176470588
526.0,1488.7700534759358
527.0,1564.5530939648588
528.0,1791.6577540106953
529.0,1531.5508021390376
530.0,1522.9946524064171
531.0,1089.742343218279
532.0,1040.427807486631
533.0,911.2299465240641
534.0,2592.513368983957
539.0,2592.513368983957
540.0,2575.4010695187167
541.0,2566.8449197860964
542.0,1562.1937569953986
